"","Flux","FluxIn","FluxOut","Closeness","EigenCentrality","PageRank","Betweenness","Authorities","Hubs"
"C524CO",8.05435700270705e-05,9.78441054476292e-05,6.19575710949849e-05,0.964807746967435,0,0.00679364363333929,0.00915415598681802,2.39827579991171e-18,5.21348443113661e-07
"ISOPDOOH",0.00223704164588607,0.00210575346775641,0.00237808479161517,0.872222859905279,0,0.00660156581122102,0.000732332478945441,6.35780256184567e-18,1.04518318231376e-10
"IPROPOL",4.59692758215713e-05,3.01598471499398e-05,6.2953375866166e-05,0.948127412801324,0,0.00553796759299189,0.0292932991578176,2.95423479679503e-18,1.51356166664565e-13
"MACROH",0.000325828281061464,8.37117673789243e-05,0.000585934523750145,0.926256750082523,5.41472248549596e-21,0.00558600779802313,0.0322226290735994,0,2.07661314597126e-09
"MACROO",0.000184894663895893,0.000164137898928272,0.000207193696968783,0.904292030306121,4.2533867397892e-21,0.00616692117405247,0.00915415598681802,1.07910338645749e-09,7.98111600846181e-09
"ETHO2HNO3",4.47366269361688e-05,2.87931429306681e-05,6.18647428872986e-05,0.93796375362102,0,0.00744434133073366,0,2.95423479679503e-18,1.02286709164683e-15
"HMGLOOA",7.45611552157265e-05,2.87932294455491e-05,0.00012372972710151,0.984870553393904,5.49796570225094e-21,0.0060056728927056,0.00952032222629074,2.93589451909966e-11,4.06924750456507e-10
"CO24C4CHO",4.97362810435806e-05,0,0.000103168064736437,0.964187916567897,0,0.00534980099651861,0,1.19913789995585e-18,3.61325076307462e-10
"HO2CO4C5O",6.88312779107993e-05,5.90963492579549e-05,7.92895307421357e-05,0.957626073516267,0,0.0149192738233716,0.0216038081288905,1.14292473175463e-17,6.66949975434888e-07
"HO3C5O",5.96514251078063e-05,8.63798311484514e-05,3.09370463876284e-05,0.946398318994882,3.01513299350434e-21,0.0160095962313102,0.0538264372024899,6.91376155872899e-18,0
"MACRO2",0.0192489904048932,0.0270853492396315,0.0108303748306717,0.952826188014607,0,0.030067347062218,0.0377151226656902,4.11089108959563e-08,4.45957606364804e-17
"HO2CO4C5O2",0.000141596309811443,0.000111212924987259,0.000174237239364663,0.96081028948746,0,0.0237548791906063,0.0732332478945441,1.04239553524073e-17,0
"BUTALO",9.37118794968461e-05,8.66853031086157e-05,0.000101260544210002,0.973156431692818,2.70463816945508e-23,0.0137116355743671,0.0600512632735262,1.23512465342001e-14,3.33925132238675e-11
"ACO3H",4.78182339048768e-05,3.4541563023952e-05,6.20813873169548e-05,0.983081337134813,4.98767091203443e-22,0.00874105977907904,0,3.90632873765899e-11,5.22419777434512e-07
"BUT2OLAO",4.48344613258793e-05,5.76091929475646e-05,3.11105422386021e-05,0.954577462157676,0,0.0102405897672343,0.00768949102892713,5.21197767620367e-18,3.27741080579408e-11
"PEAOOH",0.000128142338319933,0.000162324325799257,9.1420562528398e-05,0.920181040286791,0,0.011128726258144,0,5.21197767620367e-18,0
"INAHCO3",6.0722046274116e-05,0,0.000125955858972401,0.941906711985335,0,0.00534980099651861,0,2.39827579991171e-18,2.00131468961625e-15
"C4H9CHO",0.000128794011837223,2.95577862723998e-05,0.000235403682436218,0.977986798482571,0,0.00640209083001379,0.154888319296961,1.84231680302839e-18,2.29936551052042e-10
"NBUTOL",6.31646823756389e-05,3.24173147228294e-05,9.6196639391285e-05,0.962315436930022,5.59242852539026e-22,0.00683689130128632,0.0688392530208715,0,6.38459414301536e-18
"C525OOH",0.000105564012710319,0.000172885937555999,3.32399375952297e-05,0.911484467470715,0,0.00924228599046937,0,5.71462365877314e-18,0
"HO13C4O",6.51330684780855e-05,5.79287753943552e-05,7.28726545836997e-05,0.969163536825208,0,0.0128993919121785,0.00878798974734529,6.91376155872899e-18,6.12973927245593e-07
"ISOPAOOH",0.00112112403305466,0.00103410485963423,0.00121460890071611,0.913412615954345,0,0.00674379451690443,0.000732332478945441,6.35780256184567e-18,2.709192071883e-11
"IPROPOLO",0.00087518862185778,7.97456658701422e-05,0.00172973454030102,0.934256520580265,0,0.0182535819304935,0,3.40066761116327e-17,1.45507059229488e-05
"HO1CO3C4O",7.22978169699232e-05,5.96751604903945e-05,8.58583614354901e-05,0.957115631300024,0,0.0150873679048477,0.00219699743683632,1.14292473175463e-17,7.22204197893258e-07
"ISOPCOOH",0.00078333831378633,0.000724610063708433,0.000846430187343835,0.919108473588111,0,0.00675985346580393,0.00622482607103625,2.39827579991171e-18,1.63038751916052e-11
"HYPERACET",0.000496588013160969,0.000672466351020878,0.000307641571898998,0.964887471181814,1.53886991950359e-21,0.0706530386282357,0.0801904064445258,8.27487185048865e-13,6.52060770698202e-07
"INB1NACO3H",5.77497546948358e-05,8.11306681212123e-05,3.2631593816565e-05,0.933508585861958,0,0.0088218527485605,0,2.20200197202594e-16,8.37851417450936e-13
"IEACO3H",0.000244770811820626,0.000430222469508201,4.55397344032864e-05,0.832551651758881,0,0.0105018749506839,0,1.01419009280936e-13,2.5704811962139e-11
